CCA_1,ID_1,ADM1_EN,LATITUDE,LONGITIDE,Month,Year,Population
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2002,368416.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2002,368425.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2002,368351.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2002,368519.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2002,368694.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2002,369278.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2002,368958.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2002,369297.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2002,369474.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2002,369806.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2002,370018.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2002,370360.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2003,370133.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2003,370115.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2003,370042.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2003,370199.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2003,370443.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2003,370418.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2003,370624.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2003,370787.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2003,370672.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2003,370781.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2003,370019.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2003,370630.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2004,372071.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2004,372093.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2004,372235.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2004,372489.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2004,372330.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2004,371693.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2004,371949.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2004,371996.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2004,372057.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2004,367407.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2004,367543.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2004,367546.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2005,367659.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2005,367686.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2005,367841.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2005,368054.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2005,368105.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2005,367928.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2005,367937.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2005,368174.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2005,368228.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2005,368708.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2005,368781.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2005,368792.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2006,368779.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2006,368113.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2006,368104.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2006,368311.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2006,368343.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2006,368373.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2006,368329.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2006,368397.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2006,368444.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2006,368664.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2006,368872.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2006,368934.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2007,369014.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2007,369061.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2007,369082.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2007,369312.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2007,369347.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2007,369288.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2007,369138.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2007,369212.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2007,369421.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2007,369543.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2007,368825.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2007,368915.0
