year,month,province,ppt
1960,1,Amnat Charoen,0.148958333
1960,2,Amnat Charoen,5.113888889
1960,3,Amnat Charoen,93.84548611
1960,4,Amnat Charoen,30.36423611
1960,5,Amnat Charoen,162.3635417
1960,6,Amnat Charoen,214.6944444
1960,7,Amnat Charoen,265.9135417
1960,8,Amnat Charoen,362.5440972
1960,9,Amnat Charoen,248.7388889
1960,10,Amnat Charoen,135.2788194
1960,11,Amnat Charoen,20.25069444
1960,12,Amnat Charoen,0.0
1961,1,Amnat Charoen,0.064583333
1961,2,Amnat Charoen,1.219097222
1961,3,Amnat Charoen,46.96736111
1961,4,Amnat Charoen,66.62430556
1961,5,Amnat Charoen,285.1159722
1961,6,Amnat Charoen,360.7145833
1961,7,Amnat Charoen,215.8618056
1961,8,Amnat Charoen,359.8670139
1961,9,Amnat Charoen,428.7989583
1961,10,Amnat Charoen,140.9225694
1961,11,Amnat Charoen,6.877430556
1961,12,Amnat Charoen,0.529513889
1962,1,Amnat Charoen,0.109375
1962,2,Amnat Charoen,16.32569444
1962,3,Amnat Charoen,45.71423611
1962,4,Amnat Charoen,78.02638889
1962,5,Amnat Charoen,232.9767361
1962,6,Amnat Charoen,202.6993056
1962,7,Amnat Charoen,333.0756944
1962,8,Amnat Charoen,384.884375
1962,9,Amnat Charoen,379.5076389
1962,10,Amnat Charoen,79.31631944
1962,11,Amnat Charoen,18.08333333
1962,12,Amnat Charoen,0.028472222
1963,1,Amnat Charoen,0.0
1963,2,Amnat Charoen,0.536111111
1963,3,Amnat Charoen,68.96597222
1963,4,Amnat Charoen,33.80833333
1963,5,Amnat Charoen,170.3871528
1963,6,Amnat Charoen,295.1131944
1963,7,Amnat Charoen,279.8920139
1963,8,Amnat Charoen,319.9291667
1963,9,Amnat Charoen,191.3034722
1963,10,Amnat Charoen,72.70486111
1963,11,Amnat Charoen,37.89618056
1963,12,Amnat Charoen,0.581944444
1964,1,Amnat Charoen,2.905902778
1964,2,Amnat Charoen,1.461111111
1964,3,Amnat Charoen,51.440625
1964,4,Amnat Charoen,65.61111111
1964,5,Amnat Charoen,378.3427083
1964,6,Amnat Charoen,223.8
1964,7,Amnat Charoen,136.9451389
1964,8,Amnat Charoen,279.9243056
1964,9,Amnat Charoen,400.3993056
1964,10,Amnat Charoen,121.0871528
1964,11,Amnat Charoen,21.38159722
1964,12,Amnat Charoen,0.0
1965,1,Amnat Charoen,0.064583333
1965,2,Amnat Charoen,10.39409722
1965,3,Amnat Charoen,28.44479167
1965,4,Amnat Charoen,94.44756944
1965,5,Amnat Charoen,233.2243056
1965,6,Amnat Charoen,322.9038194
1965,7,Amnat Charoen,226.7829861
1965,8,Amnat Charoen,219.3520833
1965,9,Amnat Charoen,198.8083333
1965,10,Amnat Charoen,65.81597222
1965,11,Amnat Charoen,8.215625
1965,12,Amnat Charoen,0.195833333
1966,1,Amnat Charoen,0.0
1966,2,Amnat Charoen,19.82222222
1966,3,Amnat Charoen,69.40729167
1966,4,Amnat Charoen,84.96284722
1966,5,Amnat Charoen,426.6420139
1966,6,Amnat Charoen,178.9680556
1966,7,Amnat Charoen,281.1329861
1966,8,Amnat Charoen,372.4597222
1966,9,Amnat Charoen,224.7954861
1966,10,Amnat Charoen,55.03263889
1966,11,Amnat Charoen,10.23263889
1966,12,Amnat Charoen,4.703819444
1967,1,Amnat Charoen,0.817013889
1967,2,Amnat Charoen,2.731944444
1967,3,Amnat Charoen,7.082638889
1967,4,Amnat Charoen,108.5284722
1967,5,Amnat Charoen,160.5902778
1967,6,Amnat Charoen,192.5913194
1967,7,Amnat Charoen,247.8600694
1967,8,Amnat Charoen,239.171875
1967,9,Amnat Charoen,324.0611111
1967,10,Amnat Charoen,43.55416667
1967,11,Amnat Charoen,19.4625
1967,12,Amnat Charoen,0.0
1968,1,Amnat Charoen,3.6875
1968,2,Amnat Charoen,4.813194444
1968,3,Amnat Charoen,14.66666667
1968,4,Amnat Charoen,62.27569444
1968,5,Amnat Charoen,177.9704861
1968,6,Amnat Charoen,244.3295139
1968,7,Amnat Charoen,161.8517361
1968,8,Amnat Charoen,264.3006944
1968,9,Amnat Charoen,439.0072917
1968,10,Amnat Charoen,51.00868056
1968,11,Amnat Charoen,1.111458333
1968,12,Amnat Charoen,0.109722222
1969,1,Amnat Charoen,1.650347222
1969,2,Amnat Charoen,2.939583333
1969,3,Amnat Charoen,32.69791667
1969,4,Amnat Charoen,59.68854167
1969,5,Amnat Charoen,215.7399306
1969,6,Amnat Charoen,269.6517361
1969,7,Amnat Charoen,376.5677083
1969,8,Amnat Charoen,149.4305556
1969,9,Amnat Charoen,288.5010417
