year,month,province,ppt
2003,1,Amnat Charoen,0.117361111
2003,2,Amnat Charoen,30.79826389
2003,3,Amnat Charoen,50.10625
2003,4,Amnat Charoen,63.87013889
2003,5,Amnat Charoen,219.253125
2003,6,Amnat Charoen,203.025
2003,7,Amnat Charoen,173.6208333
2003,8,Amnat Charoen,337.2725694
2003,9,Amnat Charoen,396.8600694
2003,10,Amnat Charoen,27.99652778
2003,11,Amnat Charoen,0.140277778
2003,12,Amnat Charoen,0.0
2004,1,Amnat Charoen,6.560069444
2004,2,Amnat Charoen,40.95451389
2004,3,Amnat Charoen,31.17604167
2004,4,Amnat Charoen,69.13958333
2004,5,Amnat Charoen,226.0569444
2004,6,Amnat Charoen,252.0454861
2004,7,Amnat Charoen,391.653125
2004,8,Amnat Charoen,318.4920139
2004,9,Amnat Charoen,222.5121528
2004,10,Amnat Charoen,1.072222222
2004,11,Amnat Charoen,2.4125
2004,12,Amnat Charoen,0.0
2005,1,Amnat Charoen,0.010069444
2005,2,Amnat Charoen,0.0
2005,3,Amnat Charoen,34.42847222
2005,4,Amnat Charoen,47.81770833
2005,5,Amnat Charoen,208.0583333
2005,6,Amnat Charoen,202.5215278
2005,7,Amnat Charoen,385.8920139
2005,8,Amnat Charoen,314.9711806
2005,9,Amnat Charoen,313.3784722
2005,10,Amnat Charoen,23.67222222
2005,11,Amnat Charoen,26.39236111
2005,12,Amnat Charoen,1.018055556
2006,1,Amnat Charoen,0.0
2006,2,Amnat Charoen,11.20625
2006,3,Amnat Charoen,45.38368056
2006,4,Amnat Charoen,103.4795139
2006,5,Amnat Charoen,184.778125
2006,6,Amnat Charoen,174.0534722
2006,7,Amnat Charoen,393.4131944
2006,8,Amnat Charoen,343.0006944
2006,9,Amnat Charoen,137.3371528
2006,10,Amnat Charoen,209.0475694
2006,11,Amnat Charoen,20.45416667
2006,12,Amnat Charoen,0.0
2007,1,Amnat Charoen,0.648611111
2007,2,Amnat Charoen,12.32430556
2007,3,Amnat Charoen,57.47673611
2007,4,Amnat Charoen,38.89583333
2007,5,Amnat Charoen,266.5802083
2007,6,Amnat Charoen,194.6673611
2007,7,Amnat Charoen,219.5319444
2007,8,Amnat Charoen,359.3246528
2007,9,Amnat Charoen,219.3381944
2007,10,Amnat Charoen,255.1333333
2007,11,Amnat Charoen,9.089236111
2007,12,Amnat Charoen,0.178125
2008,1,Amnat Charoen,1.412152778
2008,2,Amnat Charoen,1.713194444
2008,3,Amnat Charoen,55.52256944
2008,4,Amnat Charoen,67.03159722
2008,5,Amnat Charoen,262.7864583
2008,6,Amnat Charoen,250.1875
2008,7,Amnat Charoen,185.4052083
2008,8,Amnat Charoen,222.0527778
2008,9,Amnat Charoen,323.3104167
