year,month,province,soil
1960,1,Amnat Charoen,77.45486111
1960,2,Amnat Charoen,58.29930556
1960,3,Amnat Charoen,48.73993056
1960,4,Amnat Charoen,40.79444444
1960,5,Amnat Charoen,47.61909722
1960,6,Amnat Charoen,129.8888889
1960,7,Amnat Charoen,247.659375
1960,8,Amnat Charoen,275.8427083
1960,9,Amnat Charoen,275.8427083
1960,10,Amnat Charoen,274.3565972
1960,11,Amnat Charoen,222.0788194
1960,12,Amnat Charoen,162.203125
1961,1,Amnat Charoen,112.8246528
1961,2,Amnat Charoen,80.58819444
1961,3,Amnat Charoen,60.35138889
1961,4,Amnat Charoen,48.37256944
1961,5,Amnat Charoen,170.3173611
1961,6,Amnat Charoen,275.7996528
1961,7,Amnat Charoen,275.8427083
1961,8,Amnat Charoen,275.8427083
1961,9,Amnat Charoen,275.8427083
1961,10,Amnat Charoen,275.1277778
1961,11,Amnat Charoen,209.8489583
1961,12,Amnat Charoen,152.4986111
1962,1,Amnat Charoen,102.1402778
1962,2,Amnat Charoen,72.725
1962,3,Amnat Charoen,55.675
1962,4,Amnat Charoen,46.22048611
1962,5,Amnat Charoen,120.2399306
1962,6,Amnat Charoen,192.2395833
1962,7,Amnat Charoen,275.8427083
1962,8,Amnat Charoen,275.8427083
1962,9,Amnat Charoen,275.8427083
1962,10,Amnat Charoen,241.3954861
1962,11,Amnat Charoen,185.234375
1962,12,Amnat Charoen,132.4208333
1963,1,Amnat Charoen,89.02013889
1963,2,Amnat Charoen,64.43854167
1963,3,Amnat Charoen,51.71979167
1963,4,Amnat Charoen,42.80520833
1963,5,Amnat Charoen,41.54618056
1963,6,Amnat Charoen,196.0052083
1963,7,Amnat Charoen,273.2861111
1963,8,Amnat Charoen,275.8427083
1963,9,Amnat Charoen,275.8427083
1963,10,Amnat Charoen,237.6600694
1963,11,Amnat Charoen,195.7395833
1963,12,Amnat Charoen,140.3107639
1964,1,Amnat Charoen,100.7822917
1964,2,Amnat Charoen,69.903125
1964,3,Amnat Charoen,54.13576389
1964,4,Amnat Charoen,44.44097222
1964,5,Amnat Charoen,259.0545139
1964,6,Amnat Charoen,275.8427083
1964,7,Amnat Charoen,272.2059028
1964,8,Amnat Charoen,275.8427083
1964,9,Amnat Charoen,275.8427083
1964,10,Amnat Charoen,275.340625
1964,11,Amnat Charoen,215.6385417
1964,12,Amnat Charoen,154.0916667
1965,1,Amnat Charoen,108.40625
1965,2,Amnat Charoen,78.23923611
1965,3,Amnat Charoen,58.60833333
1965,4,Amnat Charoen,47.55625
1965,5,Amnat Charoen,110.1284722
1965,6,Amnat Charoen,270.9791667
1965,7,Amnat Charoen,275.8427083
1965,8,Amnat Charoen,275.8427083
1965,9,Amnat Charoen,275.8427083
1965,10,Amnat Charoen,233.9409722
1965,11,Amnat Charoen,173.9170139
1965,12,Amnat Charoen,118.7621528
1966,1,Amnat Charoen,81.43194444
1966,2,Amnat Charoen,61.32256944
1966,3,Amnat Charoen,48.97534722
1966,4,Amnat Charoen,40.94444444
1966,5,Amnat Charoen,275.2524306
1966,6,Amnat Charoen,275.8427083
1966,7,Amnat Charoen,275.8427083
1966,8,Amnat Charoen,275.8427083
1966,9,Amnat Charoen,275.8427083
1966,10,Amnat Charoen,224.6232639
1966,11,Amnat Charoen,161.0583333
1966,12,Amnat Charoen,112.9552083
1967,1,Amnat Charoen,78.37604167
1967,2,Amnat Charoen,58.80173611
1967,3,Amnat Charoen,47.44479167
1967,4,Amnat Charoen,39.91979167
1967,5,Amnat Charoen,38.32361111
1967,6,Amnat Charoen,84.709375
1967,7,Amnat Charoen,191.1986111
1967,8,Amnat Charoen,267.5677083
1967,9,Amnat Charoen,275.8427083
1967,10,Amnat Charoen,219.5875
1967,11,Amnat Charoen,168.5701389
1967,12,Amnat Charoen,114.5416667
1968,1,Amnat Charoen,81.68993056
1968,2,Amnat Charoen,60.73576389
1968,3,Amnat Charoen,48.62291667
1968,4,Amnat Charoen,40.72118056
1968,5,Amnat Charoen,50.66388889
1968,6,Amnat Charoen,150.6645833
1968,7,Amnat Charoen,170.3458333
1968,8,Amnat Charoen,270.41875
1968,9,Amnat Charoen,275.8427083
1968,10,Amnat Charoen,221.9482639
1968,11,Amnat Charoen,159.9409722
1968,12,Amnat Charoen,116.3725694
1969,1,Amnat Charoen,84.95451389
1969,2,Amnat Charoen,62.45798611
1969,3,Amnat Charoen,49.66701389
1969,4,Amnat Charoen,41.43402778
1969,5,Amnat Charoen,84.87743056
1969,6,Amnat Charoen,216.4013889
1969,7,Amnat Charoen,275.8427083
1969,8,Amnat Charoen,274.4381944
1969,9,Amnat Charoen,275.8427083
1969,10,Amnat Charoen,237.2309028
1969,11,Amnat Charoen,173.7902778
1969,12,Amnat Charoen,119.7350694
1970,1,Amnat Charoen,84.23993056
1970,2,Amnat Charoen,62.553125
1970,3,Amnat Charoen,49.72013889
1970,4,Amnat Charoen,41.4625
1970,5,Amnat Charoen,104.715625
1970,6,Amnat Charoen,258.7375
1970,7,Amnat Charoen,275.6305556
1970,8,Amnat Charoen,275.8427083
1970,9,Amnat Charoen,275.8427083
1970,10,Amnat Charoen,216.2465278
1970,11,Amnat Charoen,156.8076389
1970,12,Amnat Charoen,113.7100694
1971,1,Amnat Charoen,78.83993056
1971,2,Amnat Charoen,61.009375
1971,3,Amnat Charoen,48.73125
1971,4,Amnat Charoen,40.76805556
1971,5,Amnat Charoen,90.97916667
1971,6,Amnat Charoen,272.9270833
1971,7,Amnat Charoen,275.8427083
1971,8,Amnat Charoen,275.8427083
1971,9,Amnat Charoen,275.8427083
1971,10,Amnat Charoen,221.5642361
1971,11,Amnat Charoen,152.7819444
1971,12,Amnat Charoen,105.0836806
1972,1,Amnat Charoen,74.40590278
1972,2,Amnat Charoen,61.00763889
1972,3,Amnat Charoen,49.02777778
1972,4,Amnat Charoen,40.99618056
1972,5,Amnat Charoen,35.27569444
1972,6,Amnat Charoen,248.2121528
1972,7,Amnat Charoen,275.8427083
1972,8,Amnat Charoen,275.8427083
1972,9,Amnat Charoen,275.8427083
1972,10,Amnat Charoen,275.8427083
1972,11,Amnat Charoen,215.746875
1972,12,Amnat Charoen,157.9673611
1973,1,Amnat Charoen,110.5256944
1973,2,Amnat Charoen,77.20694444
1973,3,Amnat Charoen,58.13541667
1973,4,Amnat Charoen,47.01770833
1973,5,Amnat Charoen,57.43368056
1973,6,Amnat Charoen,117.890625
1973,7,Amnat Charoen,245.4572917
1973,8,Amnat Charoen,274.5878472
1973,9,Amnat Charoen,275.8427083
1973,10,Amnat Charoen,214.48125
1973,11,Amnat Charoen,160.9399306
1973,12,Amnat Charoen,117.6458333
1974,1,Amnat Charoen,83.95729167
1974,2,Amnat Charoen,61.97743056
1974,3,Amnat Charoen,49.38888889
1974,4,Amnat Charoen,43.08159722
1974,5,Amnat Charoen,142.5913194
1974,6,Amnat Charoen,219.6753472
1974,7,Amnat Charoen,273.3895833
1974,8,Amnat Charoen,275.8427083
1974,9,Amnat Charoen,275.8427083
1974,10,Amnat Charoen,241.7829861
1974,11,Amnat Charoen,195.3729167
1974,12,Amnat Charoen,130.3243056
1975,1,Amnat Charoen,95.38506944
1975,2,Amnat Charoen,69.26875
1975,3,Amnat Charoen,53.6375
1975,4,Amnat Charoen,44.06979167
1975,5,Amnat Charoen,135.0784722
1975,6,Amnat Charoen,234.9076389
1975,7,Amnat Charoen,275.8427083
1975,8,Amnat Charoen,275.8427083
1975,9,Amnat Charoen,275.8427083
1975,10,Amnat Charoen,261.4131944
1975,11,Amnat Charoen,197.6701389
1975,12,Amnat Charoen,143.1211806
1976,1,Amnat Charoen,95.54548611
1976,2,Amnat Charoen,69.22395833
1976,3,Amnat Charoen,53.64444444
1976,4,Amnat Charoen,44.54583333
1976,5,Amnat Charoen,42.10347222
1976,6,Amnat Charoen,106.5319444
1976,7,Amnat Charoen,235.7899306
1976,8,Amnat Charoen,275.8427083
1976,9,Amnat Charoen,275.8427083
1976,10,Amnat Charoen,263.0243056
1976,11,Amnat Charoen,201.4152778
1976,12,Amnat Charoen,139.1194444
1977,1,Amnat Charoen,94.11215278
1977,2,Amnat Charoen,68.67604167
1977,3,Amnat Charoen,53.31944444
1977,4,Amnat Charoen,43.86597222
1977,5,Amnat Charoen,39.68576389
1977,6,Amnat Charoen,34.91284722
1977,7,Amnat Charoen,66.25381944
1977,8,Amnat Charoen,264.6326389
1977,9,Amnat Charoen,275.8427083
1977,10,Amnat Charoen,216.65625
1977,11,Amnat Charoen,149.3916667
1977,12,Amnat Charoen,107.91875
1978,1,Amnat Charoen,77.75381944
1978,2,Amnat Charoen,58.378125
1978,3,Amnat Charoen,47.15173611
1978,4,Amnat Charoen,41.84409722
1978,5,Amnat Charoen,70.98541667
1978,6,Amnat Charoen,167.8916667
1978,7,Amnat Charoen,275.6756944
1978,8,Amnat Charoen,275.8427083
1978,9,Amnat Charoen,275.8427083
1978,10,Amnat Charoen,218.7704861
1978,11,Amnat Charoen,155.5107639
1978,12,Amnat Charoen,111.6423611
1979,1,Amnat Charoen,77.50868056
1979,2,Amnat Charoen,58.32118056
1979,3,Amnat Charoen,47.13923611
1979,4,Amnat Charoen,43.23645833
1979,5,Amnat Charoen,171.3819444
1979,6,Amnat Charoen,275.8427083
1979,7,Amnat Charoen,269.1975694
1979,8,Amnat Charoen,275.8427083
1979,9,Amnat Charoen,275.8427083
1979,10,Amnat Charoen,174.2482639
1979,11,Amnat Charoen,107.1840278
1979,12,Amnat Charoen,74.47743056
1980,1,Amnat Charoen,56.72326389
1980,2,Amnat Charoen,46.13402778
1980,3,Amnat Charoen,39.00868056
1980,4,Amnat Charoen,33.85347222
1980,5,Amnat Charoen,79.06006944
1980,6,Amnat Charoen,234.5194444
1980,7,Amnat Charoen,275.8427083
1980,8,Amnat Charoen,275.8427083
1980,9,Amnat Charoen,275.8427083
1980,10,Amnat Charoen,262.5138889
1980,11,Amnat Charoen,199.4329861
1980,12,Amnat Charoen,141.0951389
1981,1,Amnat Charoen,95.85729167
1981,2,Amnat Charoen,71.24965278
1981,3,Amnat Charoen,54.775
1981,4,Amnat Charoen,44.83298611
1981,5,Amnat Charoen,114.5340278
1981,6,Amnat Charoen,261.2861111
1981,7,Amnat Charoen,275.8427083
1981,8,Amnat Charoen,275.8427083
1981,9,Amnat Charoen,251.1513889
1981,10,Amnat Charoen,244.0927083
1981,11,Amnat Charoen,193.1125
1981,12,Amnat Charoen,133.1638889
1982,1,Amnat Charoen,90.053125
1982,2,Amnat Charoen,66.35277778
1982,3,Amnat Charoen,52.02673611
1982,4,Amnat Charoen,43.02951389
1982,5,Amnat Charoen,40.39618056
1982,6,Amnat Charoen,123.6506944
1982,7,Amnat Charoen,161.2302083
1982,8,Amnat Charoen,273.6041667
1982,9,Amnat Charoen,275.8427083
1982,10,Amnat Charoen,271.5611111
1982,11,Amnat Charoen,218.7649306
1982,12,Amnat Charoen,156.2364583
1983,1,Amnat Charoen,106.834375
1983,2,Amnat Charoen,76.56666667
1983,3,Amnat Charoen,57.73090278
1983,4,Amnat Charoen,46.7375
1983,5,Amnat Charoen,47.18125
1983,6,Amnat Charoen,207.6204861
1983,7,Amnat Charoen,203.6107639
1983,8,Amnat Charoen,275.8427083
1983,9,Amnat Charoen,275.8427083
1983,10,Amnat Charoen,275.8427083
1983,11,Amnat Charoen,200.6677083
1983,12,Amnat Charoen,143.1753472
1984,1,Amnat Charoen,93.75173611
1984,2,Amnat Charoen,66.51076389
1984,3,Amnat Charoen,52.19652778
1984,4,Amnat Charoen,44.11631944
1984,5,Amnat Charoen,86.20868056
1984,6,Amnat Charoen,155.8128472
1984,7,Amnat Charoen,232.584375
1984,8,Amnat Charoen,275.8427083
1984,9,Amnat Charoen,275.8427083
1984,10,Amnat Charoen,275.7173611
1984,11,Amnat Charoen,228.2927083
1984,12,Amnat Charoen,164.228125
1985,1,Amnat Charoen,116.2815972
1985,2,Amnat Charoen,91.43020833
1985,3,Amnat Charoen,65.26076389
1985,4,Amnat Charoen,53.09652778
1985,5,Amnat Charoen,78.42777778
1985,6,Amnat Charoen,246.9958333
1985,7,Amnat Charoen,264.571875
1985,8,Amnat Charoen,275.8427083
1985,9,Amnat Charoen,275.8427083
1985,10,Amnat Charoen,269.4576389
1985,11,Amnat Charoen,207.4315972
1985,12,Amnat Charoen,148.0336806
1986,1,Amnat Charoen,96.93055556
1986,2,Amnat Charoen,68.175
1986,3,Amnat Charoen,53.15659722
1986,4,Amnat Charoen,44.41875
1986,5,Amnat Charoen,135.6232639
1986,6,Amnat Charoen,191.5145833
1986,7,Amnat Charoen,259.234375
1986,8,Amnat Charoen,275.8427083
1986,9,Amnat Charoen,275.8427083
1986,10,Amnat Charoen,275.7864583
1986,11,Amnat Charoen,213.1701389
1986,12,Amnat Charoen,157.6520833
1987,1,Amnat Charoen,104.4927083
1987,2,Amnat Charoen,73.61284722
1987,3,Amnat Charoen,56.20625
1987,4,Amnat Charoen,45.79375
1987,5,Amnat Charoen,42.54444444
1987,6,Amnat Charoen,194.9927083
1987,7,Amnat Charoen,272.6170139
1987,8,Amnat Charoen,275.8427083
1987,9,Amnat Charoen,275.8427083
1987,10,Amnat Charoen,236.3628472
1987,11,Amnat Charoen,178.621875
1987,12,Amnat Charoen,118.4510417
1988,1,Amnat Charoen,81.14756944
1988,2,Amnat Charoen,60.49861111
1988,3,Amnat Charoen,48.49652778
1988,4,Amnat Charoen,40.64583333
1988,5,Amnat Charoen,138.4913194
