year,month,province,soil
2003,1,Amnat Charoen,84.51770833
2003,2,Amnat Charoen,64.36631944
2003,3,Amnat Charoen,50.81180556
2003,4,Amnat Charoen,42.20381944
2003,5,Amnat Charoen,90.0125
2003,6,Amnat Charoen,140.3020833
2003,7,Amnat Charoen,167.1201389
2003,8,Amnat Charoen,275.3951389
2003,9,Amnat Charoen,275.8427083
2003,10,Amnat Charoen,202.1604167
2003,11,Amnat Charoen,135.9215278
2003,12,Amnat Charoen,90.171875
2004,1,Amnat Charoen,65.23611111
2004,2,Amnat Charoen,52.065625
2004,3,Amnat Charoen,43.05659722
2004,4,Amnat Charoen,36.81006944
2004,5,Amnat Charoen,89.90694444
2004,6,Amnat Charoen,186.9104167
2004,7,Amnat Charoen,275.8427083
2004,8,Amnat Charoen,275.8427083
2004,9,Amnat Charoen,275.8427083
2004,10,Amnat Charoen,175.6375
2004,11,Amnat Charoen,113.5649306
2004,12,Amnat Charoen,77.32673611
2005,1,Amnat Charoen,58.28854167
2005,2,Amnat Charoen,47.14027778
2005,3,Amnat Charoen,39.71701389
2005,4,Amnat Charoen,34.37881944
2005,5,Amnat Charoen,64.72847222
2005,6,Amnat Charoen,115.153125
2005,7,Amnat Charoen,273.1788194
2005,8,Amnat Charoen,275.8427083
2005,9,Amnat Charoen,275.8427083
2005,10,Amnat Charoen,201.0239583
2005,11,Amnat Charoen,157.0534722
2005,12,Amnat Charoen,103.028125
2006,1,Amnat Charoen,71.03645833
2006,2,Amnat Charoen,54.82916667
2006,3,Amnat Charoen,44.9125
2006,4,Amnat Charoen,38.14930556
2006,5,Amnat Charoen,50.55486111
2006,6,Amnat Charoen,69.51979167
2006,7,Amnat Charoen,268.8086806
2006,8,Amnat Charoen,275.8427083
2006,9,Amnat Charoen,275.2694444
2006,10,Amnat Charoen,275.8427083
2006,11,Amnat Charoen,216.1684028
2006,12,Amnat Charoen,148.6347222
2007,1,Amnat Charoen,93.36805556
2007,2,Amnat Charoen,67.91423611
2007,3,Amnat Charoen,53.09583333
2007,4,Amnat Charoen,43.74756944
2007,5,Amnat Charoen,145.8357639
2007,6,Amnat Charoen,193.5840278
2007,7,Amnat Charoen,250.2017361
2007,8,Amnat Charoen,275.8427083
2007,9,Amnat Charoen,275.8427083
2007,10,Amnat Charoen,275.8427083
2007,11,Amnat Charoen,200.8881944
2007,12,Amnat Charoen,145.8197917
2008,1,Amnat Charoen,94.88715278
2008,2,Amnat Charoen,67.03784722
2008,3,Amnat Charoen,52.5125
2008,4,Amnat Charoen,43.38888889
2008,5,Amnat Charoen,147.7819444
2008,6,Amnat Charoen,251.3888889
2008,7,Amnat Charoen,263.9944444
2008,8,Amnat Charoen,275.4114583
2008,9,Amnat Charoen,275.8427083
2008,10,Amnat Charoen,249.9677083
2008,11,Amnat Charoen,201.38125
2008,12,Amnat Charoen,141.9072917
2009,1,Amnat Charoen,91.17048611
2009,2,Amnat Charoen,65.65416667
2009,3,Amnat Charoen,51.66145833
2009,4,Amnat Charoen,42.80486111
2009,5,Amnat Charoen,136.3868056
2009,6,Amnat Charoen,161.7770833
2009,7,Amnat Charoen,274.0486111
2009,8,Amnat Charoen,275.8427083
2009,9,Amnat Charoen,275.8427083
2009,10,Amnat Charoen,221.1107639
2009,11,Amnat Charoen,154.4270833
2009,12,Amnat Charoen,111.4420139
2010,1,Amnat Charoen,78.98159722
2010,2,Amnat Charoen,59.37673611
2010,3,Amnat Charoen,47.79097222
2010,4,Amnat Charoen,40.15555556
2010,5,Amnat Charoen,39.09548611
2010,6,Amnat Charoen,54.84965278
2010,7,Amnat Charoen,105.9184028
2010,8,Amnat Charoen,275.8427083
2010,9,Amnat Charoen,275.8427083
2010,10,Amnat Charoen,275.6079861
2010,11,Amnat Charoen,196.1003472
2010,12,Amnat Charoen,137.9548611
2011,1,Amnat Charoen,86.73819444
2011,2,Amnat Charoen,63.66909722
2011,3,Amnat Charoen,50.48993056
2011,4,Amnat Charoen,42.05659722
2011,5,Amnat Charoen,84.95208333
2011,6,Amnat Charoen,149.4614583
2011,7,Amnat Charoen,270.2027778
2011,8,Amnat Charoen,275.8427083
2011,9,Amnat Charoen,275.8427083
2011,10,Amnat Charoen,275.3909722
2011,11,Amnat Charoen,203.6315972
2011,12,Amnat Charoen,134.3378472
2012,1,Amnat Charoen,90.84583333
2012,2,Amnat Charoen,65.11840278
2012,3,Amnat Charoen,51.35069444
2012,4,Amnat Charoen,42.60034722
2012,5,Amnat Charoen,92.02256944
2012,6,Amnat Charoen,120.1142361
2012,7,Amnat Charoen,150.7954861
2012,8,Amnat Charoen,215.4739583
2012,9,Amnat Charoen,275.6121528
2012,10,Amnat Charoen,235.8309028
2012,11,Amnat Charoen,209.9107639
2012,12,Amnat Charoen,149.7465278
2013,1,Amnat Charoen,102.6038194
2013,2,Amnat Charoen,73.08715278
2013,3,Amnat Charoen,55.86840278
2013,4,Amnat Charoen,45.55868056
2013,5,Amnat Charoen,38.59131944
2013,6,Amnat Charoen,37.01145833
2013,7,Amnat Charoen,218.1881944
2013,8,Amnat Charoen,250.3774306
2013,9,Amnat Charoen,275.8427083
2013,10,Amnat Charoen,255.6739583
2013,11,Amnat Charoen,183.9326389
2013,12,Amnat Charoen,131.0753472
2014,1,Amnat Charoen,85.86423611
2014,2,Amnat Charoen,62.80729167
2014,3,Amnat Charoen,49.95798611
2014,4,Amnat Charoen,41.65972222
2014,5,Amnat Charoen,35.80902778
2014,6,Amnat Charoen,149.6996528
2014,7,Amnat Charoen,273.3416667
2014,8,Amnat Charoen,275.8427083
2014,9,Amnat Charoen,275.8427083
2014,10,Amnat Charoen,206.5006944
2014,11,Amnat Charoen,147.7572917
2014,12,Amnat Charoen,95.05868056
2015,1,Amnat Charoen,67.20243056
2015,2,Amnat Charoen,52.60590278
2015,3,Amnat Charoen,43.440625
2015,4,Amnat Charoen,37.10034722
2015,5,Amnat Charoen,32.42430556
2015,6,Amnat Charoen,29.69930556
2015,7,Amnat Charoen,143.6375
2015,8,Amnat Charoen,239.0947917
2015,9,Amnat Charoen,274.8840278
2015,10,Amnat Charoen,242.8288194
2015,11,Amnat Charoen,178.3871528
2015,12,Amnat Charoen,120.8503472
2016,1,Amnat Charoen,87.13472222
2016,2,Amnat Charoen,63.13229167
2016,3,Amnat Charoen,50.10173611
2016,4,Amnat Charoen,41.73680556
2016,5,Amnat Charoen,41.74583333
2016,6,Amnat Charoen,61.11284722
2016,7,Amnat Charoen,109.5135417
2016,8,Amnat Charoen,124.7215278
2016,9,Amnat Charoen,274.4479167
2016,10,Amnat Charoen,238.3711806
2016,11,Amnat Charoen,188.5159722
2016,12,Amnat Charoen,128.9069444
2017,1,Amnat Charoen,84.80104167
2017,2,Amnat Charoen,62.13402778
2017,3,Amnat Charoen,49.56041667
2017,4,Amnat Charoen,41.38298611
2017,5,Amnat Charoen,135.9909722
2017,6,Amnat Charoen,249.65
2017,7,Amnat Charoen,275.8427083
2017,8,Amnat Charoen,275.8427083
2017,9,Amnat Charoen,275.8427083
2017,10,Amnat Charoen,257.6027778
2017,11,Amnat Charoen,195.4847222
2017,12,Amnat Charoen,132.1069444
2018,1,Amnat Charoen,88.59375
2018,2,Amnat Charoen,64.14270833
2018,3,Amnat Charoen,50.88229167
2018,4,Amnat Charoen,42.35520833
2018,5,Amnat Charoen,45.90798611
2018,6,Amnat Charoen,145.3017361
2018,7,Amnat Charoen,266.0010417
2018,8,Amnat Charoen,275.8427083
2018,9,Amnat Charoen,275.8427083
2018,10,Amnat Charoen,216.0017361
2018,11,Amnat Charoen,156.0184028
2018,12,Amnat Charoen,104.5222222
2019,1,Amnat Charoen,71.78472222
2019,2,Amnat Charoen,55.34375
2019,3,Amnat Charoen,45.240625
2019,4,Amnat Charoen,38.37361111
2019,5,Amnat Charoen,82.85277778
2019,6,Amnat Charoen,69.28854167
2019,7,Amnat Charoen,131.5847222
2019,8,Amnat Charoen,275.8427083
2019,9,Amnat Charoen,275.8427083
2019,10,Amnat Charoen,207.4180556
