year,month,province,tmax
1960,1,Amnat Charoen,31.483125
1960,2,Amnat Charoen,32.51979167
1960,3,Amnat Charoen,35.73392361
1960,4,Amnat Charoen,37.16315972
1960,5,Amnat Charoen,34.70892361
1960,6,Amnat Charoen,32.32909722
1960,7,Amnat Charoen,31.60704861
1960,8,Amnat Charoen,30.97635417
1960,9,Amnat Charoen,30.74354167
1960,10,Amnat Charoen,30.50277778
1960,11,Amnat Charoen,30.600625
1960,12,Amnat Charoen,29.20663194
1961,1,Amnat Charoen,29.85829861
1961,2,Amnat Charoen,32.01809028
1961,3,Amnat Charoen,34.81635417
1961,4,Amnat Charoen,36.10913194
1961,5,Amnat Charoen,33.31923611
1961,6,Amnat Charoen,31.76934028
1961,7,Amnat Charoen,31.24479167
1961,8,Amnat Charoen,30.98288194
1961,9,Amnat Charoen,30.13805556
1961,10,Amnat Charoen,30.81576389
1961,11,Amnat Charoen,30.87864583
1961,12,Amnat Charoen,30.52972222
1962,1,Amnat Charoen,29.01729167
1962,2,Amnat Charoen,31.70743056
1962,3,Amnat Charoen,35.11725694
1962,4,Amnat Charoen,35.91041667
1962,5,Amnat Charoen,33.91913194
1962,6,Amnat Charoen,31.96350694
1962,7,Amnat Charoen,31.05538194
1962,8,Amnat Charoen,31.01072917
1962,9,Amnat Charoen,30.15329861
1962,10,Amnat Charoen,31.34642361
1962,11,Amnat Charoen,29.91402778
1962,12,Amnat Charoen,30.05555556
1963,1,Amnat Charoen,27.50767361
1963,2,Amnat Charoen,31.9278125
1963,3,Amnat Charoen,34.66815972
1963,4,Amnat Charoen,36.04965278
1963,5,Amnat Charoen,35.41680556
1963,6,Amnat Charoen,31.85822917
1963,7,Amnat Charoen,30.43760417
1963,8,Amnat Charoen,31.01190972
1963,9,Amnat Charoen,30.63704861
1963,10,Amnat Charoen,31.08663194
1963,11,Amnat Charoen,31.06486111
1963,12,Amnat Charoen,29.59715278
1964,1,Amnat Charoen,31.09152778
1964,2,Amnat Charoen,32.43527778
1964,3,Amnat Charoen,34.98472222
1964,4,Amnat Charoen,36.24371528
1964,5,Amnat Charoen,32.58628472
1964,6,Amnat Charoen,32.04850694
1964,7,Amnat Charoen,31.83986111
1964,8,Amnat Charoen,30.72552083
1964,9,Amnat Charoen,30.24357639
1964,10,Amnat Charoen,30.79711806
1964,11,Amnat Charoen,28.15611111
1964,12,Amnat Charoen,28.14670139
