year,month,province,tmax
2003,1,Amnat Charoen,30.4175
2003,2,Amnat Charoen,33.32340278
2003,3,Amnat Charoen,34.35128472
2003,4,Amnat Charoen,36.74295139
2003,5,Amnat Charoen,35.31697917
2003,6,Amnat Charoen,32.80611111
2003,7,Amnat Charoen,31.84315972
2003,8,Amnat Charoen,31.87954861
2003,9,Amnat Charoen,31.17513889
2003,10,Amnat Charoen,32.17513889
2003,11,Amnat Charoen,32.29097222
2003,12,Amnat Charoen,29.38239583
2004,1,Amnat Charoen,31.53586806
2004,2,Amnat Charoen,31.13854167
2004,3,Amnat Charoen,36.05541667
2004,4,Amnat Charoen,36.62798611
2004,5,Amnat Charoen,34.42288194
2004,6,Amnat Charoen,32.06107639
2004,7,Amnat Charoen,31.53583333
2004,8,Amnat Charoen,31.33239583
2004,9,Amnat Charoen,31.40069444
2004,10,Amnat Charoen,32.24881944
2004,11,Amnat Charoen,32.21302083
2004,12,Amnat Charoen,30.69736111
2005,1,Amnat Charoen,31.37548611
2005,2,Amnat Charoen,34.95482639
2005,3,Amnat Charoen,35.05965278
2005,4,Amnat Charoen,36.01423611
2005,5,Amnat Charoen,34.52079861
2005,6,Amnat Charoen,32.67847222
2005,7,Amnat Charoen,31.76927083
2005,8,Amnat Charoen,31.55836806
2005,9,Amnat Charoen,31.45451389
2005,10,Amnat Charoen,30.38420139
2005,11,Amnat Charoen,31.05993056
2005,12,Amnat Charoen,28.62961806
2006,1,Amnat Charoen,31.10625
2006,2,Amnat Charoen,32.98229167
2006,3,Amnat Charoen,34.96798611
2006,4,Amnat Charoen,34.80746528
2006,5,Amnat Charoen,33.47076389
2006,6,Amnat Charoen,32.18767361
2006,7,Amnat Charoen,31.00538194
2006,8,Amnat Charoen,30.67850694
2006,9,Amnat Charoen,31.19545139
2006,10,Amnat Charoen,31.48913194
2006,11,Amnat Charoen,32.04315972
2006,12,Amnat Charoen,30.08954861
2007,1,Amnat Charoen,30.05815972
2007,2,Amnat Charoen,33.06583333
2007,3,Amnat Charoen,35.36225694
2007,4,Amnat Charoen,35.59822917
2007,5,Amnat Charoen,32.54496528
2007,6,Amnat Charoen,32.57559028
