year,month,province,tmin
1960,1,Amnat Charoen,15.38600694
1960,2,Amnat Charoen,16.97743056
1960,3,Amnat Charoen,22.87118056
1960,4,Amnat Charoen,24.46579861
1960,5,Amnat Charoen,24.13947917
1960,6,Amnat Charoen,24.04097222
1960,7,Amnat Charoen,23.28475694
1960,8,Amnat Charoen,23.64239583
1960,9,Amnat Charoen,23.18715278
1960,10,Amnat Charoen,21.99298611
1960,11,Amnat Charoen,20.16618056
1960,12,Amnat Charoen,15.40809028
1961,1,Amnat Charoen,14.19670139
1961,2,Amnat Charoen,17.81638889
1961,3,Amnat Charoen,21.92725694
1961,4,Amnat Charoen,23.9490625
1961,5,Amnat Charoen,23.74399306
1961,6,Amnat Charoen,24.31458333
1961,7,Amnat Charoen,23.49246528
1961,8,Amnat Charoen,23.34784722
1961,9,Amnat Charoen,23.385625
1961,10,Amnat Charoen,21.42572917
1961,11,Amnat Charoen,19.24260417
1961,12,Amnat Charoen,16.84482639
1962,1,Amnat Charoen,14.13923611
1962,2,Amnat Charoen,16.32982639
1962,3,Amnat Charoen,21.48305556
1962,4,Amnat Charoen,23.79826389
1962,5,Amnat Charoen,23.9553125
1962,6,Amnat Charoen,23.76381944
1962,7,Amnat Charoen,23.49336806
1962,8,Amnat Charoen,23.12746528
1962,9,Amnat Charoen,23.31513889
1962,10,Amnat Charoen,21.51378472
1962,11,Amnat Charoen,18.03833333
1962,12,Amnat Charoen,14.86204861
1963,1,Amnat Charoen,11.73357639
1963,2,Amnat Charoen,16.4990625
1963,3,Amnat Charoen,20.52954861
1963,4,Amnat Charoen,22.81059028
1963,5,Amnat Charoen,24.22472222
1963,6,Amnat Charoen,23.8496875
1963,7,Amnat Charoen,23.28805556
1963,8,Amnat Charoen,23.34302083
1963,9,Amnat Charoen,23.67708333
1963,10,Amnat Charoen,21.80336806
1963,11,Amnat Charoen,20.21204861
1963,12,Amnat Charoen,15.82857639
1964,1,Amnat Charoen,15.98565972
1964,2,Amnat Charoen,17.48774306
1964,3,Amnat Charoen,21.0496875
1964,4,Amnat Charoen,24.04701389
1964,5,Amnat Charoen,23.50204861
1964,6,Amnat Charoen,23.70986111
1964,7,Amnat Charoen,23.30565972
1964,8,Amnat Charoen,23.44142361
1964,9,Amnat Charoen,23.4909375
1964,10,Amnat Charoen,22.49878472
1964,11,Amnat Charoen,18.18052083
1964,12,Amnat Charoen,15.25454861
1965,1,Amnat Charoen,13.52923611
1965,2,Amnat Charoen,19.24791667
1965,3,Amnat Charoen,21.00131944
1965,4,Amnat Charoen,23.65920139
1965,5,Amnat Charoen,23.92972222
1965,6,Amnat Charoen,23.70475694
1965,7,Amnat Charoen,23.40041667
1965,8,Amnat Charoen,23.09149306
1965,9,Amnat Charoen,22.6171875
1965,10,Amnat Charoen,21.87399306
1965,11,Amnat Charoen,19.20076389
1965,12,Amnat Charoen,17.99836806
1966,1,Amnat Charoen,16.84267361
1966,2,Amnat Charoen,19.73152778
1966,3,Amnat Charoen,22.84239583
1966,4,Amnat Charoen,24.32913194
1966,5,Amnat Charoen,23.76663194
1966,6,Amnat Charoen,24.01375
1966,7,Amnat Charoen,23.4146875
1966,8,Amnat Charoen,23.44517361
1966,9,Amnat Charoen,22.55274306
1966,10,Amnat Charoen,21.97131944
1966,11,Amnat Charoen,19.38819444
1966,12,Amnat Charoen,18.55454861
1967,1,Amnat Charoen,15.76239583
1967,2,Amnat Charoen,17.39368056
1967,3,Amnat Charoen,20.84305556
1967,4,Amnat Charoen,23.55177083
1967,5,Amnat Charoen,24.121875
1967,6,Amnat Charoen,24.00875
1967,7,Amnat Charoen,23.53993056
1967,8,Amnat Charoen,23.5765625
1967,9,Amnat Charoen,23.57927083
1967,10,Amnat Charoen,20.69965278
1967,11,Amnat Charoen,19.30857639
1967,12,Amnat Charoen,15.0834375
1968,1,Amnat Charoen,15.58642361
1968,2,Amnat Charoen,17.78236111
1968,3,Amnat Charoen,21.91083333
1968,4,Amnat Charoen,23.15260417
1968,5,Amnat Charoen,23.86829861
1968,6,Amnat Charoen,23.8571875
1968,7,Amnat Charoen,23.84673611
1968,8,Amnat Charoen,23.54333333
1968,9,Amnat Charoen,23.48625
1968,10,Amnat Charoen,21.22916667
1968,11,Amnat Charoen,19.62631944
1968,12,Amnat Charoen,17.4778125
1969,1,Amnat Charoen,18.74472222
1969,2,Amnat Charoen,18.8384375
1969,3,Amnat Charoen,22.95777778
1969,4,Amnat Charoen,24.16670139
1969,5,Amnat Charoen,24.52423611
1969,6,Amnat Charoen,24.21927083
1969,7,Amnat Charoen,23.68888889
1969,8,Amnat Charoen,23.33298611
1969,9,Amnat Charoen,23.43875
1969,10,Amnat Charoen,22.20270833
1969,11,Amnat Charoen,18.3665625
1969,12,Amnat Charoen,15.07663194
1970,1,Amnat Charoen,16.54114583
1970,2,Amnat Charoen,17.89118056
1970,3,Amnat Charoen,22.59517361
1970,4,Amnat Charoen,23.26864583
1970,5,Amnat Charoen,24.07243056
1970,6,Amnat Charoen,23.80420139
1970,7,Amnat Charoen,23.39847222
1970,8,Amnat Charoen,22.89597222
1970,9,Amnat Charoen,23.38638889
1970,10,Amnat Charoen,21.23555556
1970,11,Amnat Charoen,18.77145833
1970,12,Amnat Charoen,18.23871528
1971,1,Amnat Charoen,14.04489583
1971,2,Amnat Charoen,16.89072917
1971,3,Amnat Charoen,20.85892361
1971,4,Amnat Charoen,23.20274306
1971,5,Amnat Charoen,24.16524306
1971,6,Amnat Charoen,23.73621528
1971,7,Amnat Charoen,23.58618056
1971,8,Amnat Charoen,23.08559028
1971,9,Amnat Charoen,23.5934375
1971,10,Amnat Charoen,20.99989583
1971,11,Amnat Charoen,16.89947917
1971,12,Amnat Charoen,17.30166667
