year,month,province,tmin
2003,1,Amnat Charoen,16.23368056
2003,2,Amnat Charoen,19.53597222
2003,3,Amnat Charoen,22.16354167
2003,4,Amnat Charoen,24.87506944
2003,5,Amnat Charoen,25.01527778
2003,6,Amnat Charoen,24.23527778
2003,7,Amnat Charoen,24.33152778
2003,8,Amnat Charoen,24.24232639
2003,9,Amnat Charoen,23.70166667
2003,10,Amnat Charoen,22.55722222
2003,11,Amnat Charoen,20.37965278
2003,12,Amnat Charoen,17.16722222
2004,1,Amnat Charoen,16.89038194
2004,2,Amnat Charoen,18.3684375
2004,3,Amnat Charoen,22.91131944
2004,4,Amnat Charoen,24.77711806
2004,5,Amnat Charoen,24.86635417
2004,6,Amnat Charoen,24.20888889
2004,7,Amnat Charoen,24.03475694
2004,8,Amnat Charoen,24.37611111
2004,9,Amnat Charoen,23.90645833
2004,10,Amnat Charoen,21.41288194
2004,11,Amnat Charoen,19.918125
2004,12,Amnat Charoen,15.91850694
2005,1,Amnat Charoen,16.93576389
2005,2,Amnat Charoen,20.70329861
2005,3,Amnat Charoen,22.16347222
2005,4,Amnat Charoen,25.00940972
2005,5,Amnat Charoen,25.04395833
2005,6,Amnat Charoen,25.12475694
2005,7,Amnat Charoen,24.54215278
2005,8,Amnat Charoen,24.0621875
2005,9,Amnat Charoen,24.43885417
2005,10,Amnat Charoen,22.19753472
2005,11,Amnat Charoen,20.85847222
2005,12,Amnat Charoen,18.07392361
2006,1,Amnat Charoen,16.67645833
2006,2,Amnat Charoen,19.54850694
2006,3,Amnat Charoen,22.67204861
2006,4,Amnat Charoen,24.16756944
2006,5,Amnat Charoen,23.50729167
2006,6,Amnat Charoen,23.800625
2006,7,Amnat Charoen,24.39305556
2006,8,Amnat Charoen,23.63319444
2006,9,Amnat Charoen,23.41045139
2006,10,Amnat Charoen,22.44982639
2006,11,Amnat Charoen,20.63340278
2006,12,Amnat Charoen,17.18972222
2007,1,Amnat Charoen,16.77256944
2007,2,Amnat Charoen,18.44125
2007,3,Amnat Charoen,23.35791667
2007,4,Amnat Charoen,23.62819444
2007,5,Amnat Charoen,23.47211806
2007,6,Amnat Charoen,24.27284722
2007,7,Amnat Charoen,23.84861111
2007,8,Amnat Charoen,23.20861111
2007,9,Amnat Charoen,23.55375
2007,10,Amnat Charoen,22.01597222
2007,11,Amnat Charoen,18.03652778
2007,12,Amnat Charoen,18.23135417
2008,1,Amnat Charoen,16.30715278
