year,month,province,ws
1960,1,Amnat Charoen,1.132916667
1960,2,Amnat Charoen,2.478611111
1960,3,Amnat Charoen,0.878923611
1960,4,Amnat Charoen,1.9884375
1960,5,Amnat Charoen,1.4571875
1960,6,Amnat Charoen,1.281701389
1960,7,Amnat Charoen,0.20375
1960,8,Amnat Charoen,1.382569444
1960,9,Amnat Charoen,0.500243056
1960,10,Amnat Charoen,1.226076389
1960,11,Amnat Charoen,0.493541667
1960,12,Amnat Charoen,1.171319444
1961,1,Amnat Charoen,1.257881944
1961,2,Amnat Charoen,1.046423611
1961,3,Amnat Charoen,1.27625
1961,4,Amnat Charoen,1.229201389
1961,5,Amnat Charoen,1.129201389
1961,6,Amnat Charoen,1.190520833
1961,7,Amnat Charoen,1.474305556
1961,8,Amnat Charoen,1.306944444
1961,9,Amnat Charoen,1.087152778
1961,10,Amnat Charoen,0.727152778
1961,11,Amnat Charoen,0.828263889
1961,12,Amnat Charoen,0.972465278
1962,1,Amnat Charoen,2.072743056
1962,2,Amnat Charoen,1.709930556
1962,3,Amnat Charoen,1.7625
1962,4,Amnat Charoen,1.1296875
1962,5,Amnat Charoen,0.758819444
1962,6,Amnat Charoen,1.045833333
1962,7,Amnat Charoen,1.1678125
1962,8,Amnat Charoen,0.516388889
1962,9,Amnat Charoen,0.630694444
1962,10,Amnat Charoen,1.342361111
1962,11,Amnat Charoen,1.388368056
1962,12,Amnat Charoen,0.866840278
1963,1,Amnat Charoen,1.833715278
1963,2,Amnat Charoen,1.664166667
1963,3,Amnat Charoen,0.856527778
1963,4,Amnat Charoen,1.627638889
1963,5,Amnat Charoen,0.903506944
1963,6,Amnat Charoen,1.40625
1963,7,Amnat Charoen,1.402083333
1963,8,Amnat Charoen,0.944479167
1963,9,Amnat Charoen,1.006041667
1963,10,Amnat Charoen,0.954861111
1963,11,Amnat Charoen,0.000104167
1963,12,Amnat Charoen,0.767361111
1964,1,Amnat Charoen,0.537916667
1964,2,Amnat Charoen,2.387847222
1964,3,Amnat Charoen,1.526388889
1964,4,Amnat Charoen,1.138194444
1964,5,Amnat Charoen,1.248993056
1964,6,Amnat Charoen,1.338888889
1964,7,Amnat Charoen,0.368090278
1964,8,Amnat Charoen,1.686597222
1964,9,Amnat Charoen,1.006597222
1964,10,Amnat Charoen,0.287916667
1964,11,Amnat Charoen,2.523993056
1964,12,Amnat Charoen,1.800069444
1965,1,Amnat Charoen,0.719652778
1965,2,Amnat Charoen,1.050868056
1965,3,Amnat Charoen,1.515625
1965,4,Amnat Charoen,1.407118056
1965,5,Amnat Charoen,1.3171875
1965,6,Amnat Charoen,1.518368056
1965,7,Amnat Charoen,0.924930556
1965,8,Amnat Charoen,0.500555556
1965,9,Amnat Charoen,0.629340278
1965,10,Amnat Charoen,0.91625
1965,11,Amnat Charoen,0.78625
1965,12,Amnat Charoen,1.634166667
1966,1,Amnat Charoen,1.0771875
1966,2,Amnat Charoen,1.7796875
1966,3,Amnat Charoen,2.206006944
1966,4,Amnat Charoen,1.594305556
1966,5,Amnat Charoen,2.160104167
1966,6,Amnat Charoen,1.767673611
1966,7,Amnat Charoen,1.257638889
1966,8,Amnat Charoen,1.345138889
1966,9,Amnat Charoen,1.3465625
1966,10,Amnat Charoen,1.778576389
1966,11,Amnat Charoen,2.116006944
1966,12,Amnat Charoen,1.495659722
1967,1,Amnat Charoen,2.379583333
1967,2,Amnat Charoen,1.803090278
1967,3,Amnat Charoen,1.723680556
1967,4,Amnat Charoen,1.433333333
1967,5,Amnat Charoen,1.822986111
1967,6,Amnat Charoen,1.277986111
1967,7,Amnat Charoen,0.833472222
1967,8,Amnat Charoen,1.880694444
1967,9,Amnat Charoen,0.641597222
1967,10,Amnat Charoen,1.162118056
1967,11,Amnat Charoen,1.08
1967,12,Amnat Charoen,1.728368056
1968,1,Amnat Charoen,0.609409722
1968,2,Amnat Charoen,1.4475
1968,3,Amnat Charoen,1.213888889
1968,4,Amnat Charoen,1.618263889
1968,5,Amnat Charoen,1.163958333
1968,6,Amnat Charoen,0.970798611
1968,7,Amnat Charoen,0.729131944
1968,8,Amnat Charoen,1.721701389
1968,9,Amnat Charoen,0.891215278
1968,10,Amnat Charoen,1.474826389
1968,11,Amnat Charoen,0.755104167
1968,12,Amnat Charoen,0.001701389
1969,1,Amnat Charoen,0.368715278
1969,2,Amnat Charoen,1.241111111
1969,3,Amnat Charoen,1.017951389
1969,4,Amnat Charoen,1.769097222
1969,5,Amnat Charoen,1.423611111
1969,6,Amnat Charoen,1.277534722
1969,7,Amnat Charoen,1.775520833
1969,8,Amnat Charoen,1.121736111
1969,9,Amnat Charoen,0.5740625
1969,10,Amnat Charoen,0.754756944
1969,11,Amnat Charoen,2.011319444
1969,12,Amnat Charoen,1.831736111
1970,1,Amnat Charoen,0.848125
1970,2,Amnat Charoen,0.825104167
1970,3,Amnat Charoen,1.407534722
1970,4,Amnat Charoen,1.591111111
1970,5,Amnat Charoen,1.058993056
1970,6,Amnat Charoen,0.631631944
1970,7,Amnat Charoen,0.971840278
1970,8,Amnat Charoen,1.139201389
