year,month,province,ws
2003,1,Amnat Charoen,1.975381944
2003,2,Amnat Charoen,1.118298611
2003,3,Amnat Charoen,1.683854167
2003,4,Amnat Charoen,1.50625
2003,5,Amnat Charoen,1.561666667
2003,6,Amnat Charoen,1.723055556
2003,7,Amnat Charoen,1.147048611
2003,8,Amnat Charoen,1.544375
2003,9,Amnat Charoen,1.173298611
2003,10,Amnat Charoen,1.869166667
2003,11,Amnat Charoen,1.2303125
2003,12,Amnat Charoen,2.152152778
2004,1,Amnat Charoen,1.488055556
2004,2,Amnat Charoen,1.698229167
2004,3,Amnat Charoen,1.738888889
2004,4,Amnat Charoen,1.448020833
2004,5,Amnat Charoen,1.578472222
2004,6,Amnat Charoen,2.011354167
2004,7,Amnat Charoen,1.276979167
2004,8,Amnat Charoen,1.6859375
2004,9,Amnat Charoen,1.559166667
2004,10,Amnat Charoen,2.1840625
2004,11,Amnat Charoen,1.840798611
2004,12,Amnat Charoen,1.400243056
2005,1,Amnat Charoen,1.511006944
2005,2,Amnat Charoen,1.4665625
2005,3,Amnat Charoen,2.2996875
2005,4,Amnat Charoen,1.868020833
2005,5,Amnat Charoen,1.772118056
2005,6,Amnat Charoen,1.93
2005,7,Amnat Charoen,1.5453125
2005,8,Amnat Charoen,1.791006944
2005,9,Amnat Charoen,1.342743056
2005,10,Amnat Charoen,2.193854167
2005,11,Amnat Charoen,0.956145833
2005,12,Amnat Charoen,2.812534722
2006,1,Amnat Charoen,1.830034722
2006,2,Amnat Charoen,2.170347222
2006,3,Amnat Charoen,1.443020833
2006,4,Amnat Charoen,1.598715278
2006,5,Amnat Charoen,1.562673611
2006,6,Amnat Charoen,1.4346875
2006,7,Amnat Charoen,2.262777778
2006,8,Amnat Charoen,1.526736111
2006,9,Amnat Charoen,1.229791667
2006,10,Amnat Charoen,1.354791667
2006,11,Amnat Charoen,0.242881944
2006,12,Amnat Charoen,1.982534722
2007,1,Amnat Charoen,2.628090278
2007,2,Amnat Charoen,1.018541667
2007,3,Amnat Charoen,1.334166667
2007,4,Amnat Charoen,2.093923611
2007,5,Amnat Charoen,1.593090278
2007,6,Amnat Charoen,1.243715278
2007,7,Amnat Charoen,1.324756944
2007,8,Amnat Charoen,1.554548611
2007,9,Amnat Charoen,1.0703125
2007,10,Amnat Charoen,2.263159722
2007,11,Amnat Charoen,2.350208333
2007,12,Amnat Charoen,1.024513889
2008,1,Amnat Charoen,2.086840278
2008,2,Amnat Charoen,3.091354167
2008,3,Amnat Charoen,1.743333333
2008,4,Amnat Charoen,1.544548611
2008,5,Amnat Charoen,1.758125
2008,6,Amnat Charoen,1.459027778
2008,7,Amnat Charoen,1.5975
2008,8,Amnat Charoen,1.263159722
2008,9,Amnat Charoen,1.306666667
2008,10,Amnat Charoen,1.199305556
2008,11,Amnat Charoen,2.030833333
2008,12,Amnat Charoen,1.917013889
2009,1,Amnat Charoen,2.372673611
2009,2,Amnat Charoen,1.097986111
2009,3,Amnat Charoen,1.390763889
2009,4,Amnat Charoen,1.954722222
2009,5,Amnat Charoen,1.358472222
2009,6,Amnat Charoen,2.163298611
2009,7,Amnat Charoen,1.8875
2009,8,Amnat Charoen,1.024097222
2009,9,Amnat Charoen,1.380486111
2009,10,Amnat Charoen,0.828159722
2009,11,Amnat Charoen,1.751770833
2009,12,Amnat Charoen,0.631423611
2010,1,Amnat Charoen,1.487048611
2010,2,Amnat Charoen,1.117847222
2010,3,Amnat Charoen,2.222638889
2010,4,Amnat Charoen,1.684340278
2010,5,Amnat Charoen,1.584513889
2010,6,Amnat Charoen,1.431041667
2010,7,Amnat Charoen,1.2515625
2010,8,Amnat Charoen,1.000069444
2010,9,Amnat Charoen,1.073541667
2010,10,Amnat Charoen,1.663402778
2010,11,Amnat Charoen,2.064548611
2010,12,Amnat Charoen,1.286423611
2011,1,Amnat Charoen,3.317986111
2011,2,Amnat Charoen,1.415451389
2011,3,Amnat Charoen,3.659722222
2011,4,Amnat Charoen,1.780972222
2011,5,Amnat Charoen,1.356875
2011,6,Amnat Charoen,1.840243056
2011,7,Amnat Charoen,1.631215278
2011,8,Amnat Charoen,1.072152778
2011,9,Amnat Charoen,1.562291667
2011,10,Amnat Charoen,1.666145833
2011,11,Amnat Charoen,1.486319444
2011,12,Amnat Charoen,2.971527778
2012,1,Amnat Charoen,1.984826389
2012,2,Amnat Charoen,1.7984375
2012,3,Amnat Charoen,1.852118056
2012,4,Amnat Charoen,1.578645833
2012,5,Amnat Charoen,1.525833333
2012,6,Amnat Charoen,2.311944444
2012,7,Amnat Charoen,1.931736111
2012,8,Amnat Charoen,1.9740625
2012,9,Amnat Charoen,1.366527778
2012,10,Amnat Charoen,1.260694444
2012,11,Amnat Charoen,0.151041667
2012,12,Amnat Charoen,1.030590278
2013,1,Amnat Charoen,1.881840278
2013,2,Amnat Charoen,1.858645833
2013,3,Amnat Charoen,1.576944444
2013,4,Amnat Charoen,1.954097222
2013,5,Amnat Charoen,1.448298611
2013,6,Amnat Charoen,1.423576389
2013,7,Amnat Charoen,1.370381944
2013,8,Amnat Charoen,1.571215278
2013,9,Amnat Charoen,1.420347222
2013,10,Amnat Charoen,1.890069444
2013,11,Amnat Charoen,1.879479167
2013,12,Amnat Charoen,1.934826389
2014,1,Amnat Charoen,1.929618056
2014,2,Amnat Charoen,1.555694444
2014,3,Amnat Charoen,1.542777778
2014,4,Amnat Charoen,1.219409722
2014,5,Amnat Charoen,1.596006944
2014,6,Amnat Charoen,1.946215278
2014,7,Amnat Charoen,1.533576389
2014,8,Amnat Charoen,1.298854167
2014,9,Amnat Charoen,1.2928125
2014,10,Amnat Charoen,1.227152778
2014,11,Amnat Charoen,0.885104167
2014,12,Amnat Charoen,2.726006944
2015,1,Amnat Charoen,1.953020833
2015,2,Amnat Charoen,1.320104167
2015,3,Amnat Charoen,1.566284722
2015,4,Amnat Charoen,2.270694444
2015,5,Amnat Charoen,2.076458333
2015,6,Amnat Charoen,1.698888889
2015,7,Amnat Charoen,1.775520833
2015,8,Amnat Charoen,1.198368056
2015,9,Amnat Charoen,1.596597222
2015,10,Amnat Charoen,1.037430556
2015,11,Amnat Charoen,0.789895833
2015,12,Amnat Charoen,1.593923611
2016,1,Amnat Charoen,1.349340278
2016,2,Amnat Charoen,3.405173611
2016,3,Amnat Charoen,2.194652778
2016,4,Amnat Charoen,2.125104167
2016,5,Amnat Charoen,1.751701389
2016,6,Amnat Charoen,1.391111111
2016,7,Amnat Charoen,1.523958333
2016,8,Amnat Charoen,1.942048611
2016,9,Amnat Charoen,1.472083333
2016,10,Amnat Charoen,0.875798611
2016,11,Amnat Charoen,1.430451389
2016,12,Amnat Charoen,2.382638889
2017,1,Amnat Charoen,2.500972222
2017,2,Amnat Charoen,2.436111111
2017,3,Amnat Charoen,1.343506944
2017,4,Amnat Charoen,1.789826389
2017,5,Amnat Charoen,1.1596875
2017,6,Amnat Charoen,1.528506944
2017,7,Amnat Charoen,1.667395833
2017,8,Amnat Charoen,1.175034722
2017,9,Amnat Charoen,1.128993056
2017,10,Amnat Charoen,1.571944444
2017,11,Amnat Charoen,2.398576389
2017,12,Amnat Charoen,2.851909722
2018,1,Amnat Charoen,1.732638889
2018,2,Amnat Charoen,2.0875
2018,3,Amnat Charoen,1.454861111
2018,4,Amnat Charoen,1.810416667
2018,5,Amnat Charoen,0.422222222
2018,6,Amnat Charoen,1.596875
2018,7,Amnat Charoen,2.135763889
2018,8,Amnat Charoen,2.060763889
2018,9,Amnat Charoen,0.689236111
2018,10,Amnat Charoen,1.452083333
2018,11,Amnat Charoen,0.988541667
2018,12,Amnat Charoen,1.984027778
2019,1,Amnat Charoen,1.941666667
2019,2,Amnat Charoen,0.040972222
2019,3,Amnat Charoen,1.234027778
2019,4,Amnat Charoen,1.607291667
2019,5,Amnat Charoen,1.779166667
2019,6,Amnat Charoen,1.628125
2019,7,Amnat Charoen,1.710763889
2019,8,Amnat Charoen,2.196875
2019,9,Amnat Charoen,0.949652778
2019,10,Amnat Charoen,1.057986111
2019,11,Amnat Charoen,1.338194444
2019,12,Amnat Charoen,1.353472222
2020,1,Amnat Charoen,1.215277778
2020,2,Amnat Charoen,2.097569444
2020,3,Amnat Charoen,1.111805556
2020,4,Amnat Charoen,2.050347222
2020,5,Amnat Charoen,1.343055556
2020,6,Amnat Charoen,1.468055556
2020,7,Amnat Charoen,0.955902778
2020,8,Amnat Charoen,1.473263889
2020,9,Amnat Charoen,1.056944444
2020,10,Amnat Charoen,1.9625
2020,11,Amnat Charoen,1.904861111
2020,12,Amnat Charoen,2.365625
2021,1,Amnat Charoen,2.543402778
2021,2,Amnat Charoen,1.719097222
2021,3,Amnat Charoen,1.361805556
2021,4,Amnat Charoen,1.185069444
2021,5,Amnat Charoen,1.081944444
2021,6,Amnat Charoen,2.005555556
2021,7,Amnat Charoen,1.819444444
2021,8,Amnat Charoen,1.471875
2021,9,Amnat Charoen,1.109027778
2021,10,Amnat Charoen,1.594791667
2021,11,Amnat Charoen,1.883680556
2021,12,Amnat Charoen,2.307291667
2022,1,Amnat Charoen,1.121875
2022,2,Amnat Charoen,2.303125
2022,3,Amnat Charoen,1.271875
2022,4,Amnat Charoen,2.339236111
2022,5,Amnat Charoen,1.89375
2022,6,Amnat Charoen,1.311458333
2022,7,Amnat Charoen,1.013541667
2022,8,Amnat Charoen,1.313888889
2022,9,Amnat Charoen,1.169444444
2022,10,Amnat Charoen,2.127777778
