year,month,province,tmax
2023,1,Amnat Charoen,29.29748427672956
2023,2,Amnat Charoen,33.55094339622641
2023,3,Amnat Charoen,35.391194968553464
2023,4,Amnat Charoen,37.66100628930818
2023,5,Amnat Charoen,35.720754716981126
2023,6,Amnat Charoen,32.78616352201258
2023,7,Amnat Charoen,32.47232704402516
2023,8,Amnat Charoen,32.04905660377358
2023,9,Amnat Charoen,31.473584905660378
2023,10,Amnat Charoen,32.444654088050314
2023,11,Amnat Charoen,32.07924528301887
2023,12,Amnat Charoen,31.70251572327044
2023,1,Ang Thong,31.036363636363635
2023,2,Ang Thong,33.67727272727273
2023,3,Ang Thong,35.220454545454544
2023,4,Ang Thong,37.475
2023,5,Ang Thong,36.54090909090909
2023,6,Ang Thong,35.24545454545454
2023,7,Ang Thong,34.09772727272727
2023,8,Ang Thong,34.029545454545456
2023,9,Ang Thong,32.54090909090909
2023,10,Ang Thong,32.56590909090909
2023,11,Ang Thong,32.413636363636364
2023,12,Ang Thong,32.74090909090909
2023,1,Bangkok,31.31578947368421
2023,2,Bangkok,32.73552631578948
2023,3,Bangkok,33.74736842105263
2023,4,Bangkok,35.69736842105263
2023,5,Bangkok,35.83552631578947
2023,6,Bangkok,34.363157894736844
2023,7,Bangkok,33.61184210526315
2023,8,Bangkok,33.767105263157895
2023,9,Bangkok,32.852631578947374
2023,10,Bangkok,32.68815789473685
2023,11,Bangkok,32.29342105263158
2023,12,Bangkok,32.98421052631579
2023,1,Bueng Kan,26.495384615384616
2023,2,Bueng Kan,29.890256410256413
2023,3,Bueng Kan,32.91794871794872
2023,4,Bueng Kan,34.932307692307695
2023,5,Bueng Kan,35.83692307692308
2023,6,Bueng Kan,33.47282051282051
2023,7,Bueng Kan,32.886153846153846
2023,8,Bueng Kan,31.96102564102564
2023,9,Bueng Kan,31.49025641025641
2023,10,Bueng Kan,31.57230769230769
2023,11,Bueng Kan,30.483589743589743
2023,12,Bueng Kan,28.22923076923077
2023,1,Buri Ram,29.686570247933886
2023,2,Buri Ram,33.73884297520661
2023,3,Buri Ram,35.04194214876033
2023,4,Buri Ram,37.42376033057852
2023,5,Buri Ram,35.53326446280992
2023,6,Buri Ram,34.11694214876033
2023,7,Buri Ram,33.36384297520661
2023,8,Buri Ram,33.39152892561984
2023,9,Buri Ram,31.90351239669421
2023,10,Buri Ram,31.95723140495868
2023,11,Buri Ram,31.66239669421488
2023,12,Buri Ram,31.52004132231405
2023,1,Chachoengsao,31.4624
2023,2,Chachoengsao,33.3992
2023,3,Chachoengsao,34.644400000000005
2023,4,Chachoengsao,35.9444
2023,5,Chachoengsao,35.3452
2023,6,Chachoengsao,33.7872
2023,7,Chachoengsao,32.9636
2023,8,Chachoengsao,33.0716
2023,9,Chachoengsao,32.2716
2023,10,Chachoengsao,32.31
2023,11,Chachoengsao,32.1456
2023,12,Chachoengsao,32.5888
2023,1,Chai Nat,30.8864406779661
2023,2,Chai Nat,33.09152542372882
2023,3,Chai Nat,34.713559322033895
2023,4,Chai Nat,37.68050847457627
2023,5,Chai Nat,36.01271186440678
2023,6,Chai Nat,35.2
2023,7,Chai Nat,33.72796610169492
2023,8,Chai Nat,33.71779661016949
2023,9,Chai Nat,32.45084745762712
2023,10,Chai Nat,32.69915254237288
2023,11,Chai Nat,32.389830508474574
2023,12,Chai Nat,32.8364406779661
2023,1,Chaiyaphum,29.19658536585366
2023,2,Chaiyaphum,32.320162601626016
2023,3,Chaiyaphum,34.42585365853658
2023,4,Chaiyaphum,36.73609756097561
2023,5,Chaiyaphum,34.82910569105691
2023,6,Chaiyaphum,32.94813008130081
2023,7,Chaiyaphum,32.36455284552846
2023,8,Chaiyaphum,31.7669918699187
2023,9,Chaiyaphum,31.091707317073173
