province,tmax,month,year
Amnat Charoen,32.30754716981132,1,2024
Amnat Charoen,35.07610062893082,2,2024
Amnat Charoen,36.757861635220124,3,2024
Amnat Charoen,40.298742138364794,4,2024
Amnat Charoen,35.65723270440252,5,2024
Amnat Charoen,33.41320754716981,6,2024
Amnat Charoen,31.584276729559747,7,2024
Amnat Charoen,32.418238993710695,8,2024
Amnat Charoen,31.655974842767296,9,2024
Amnat Charoen,32.002515723270434,10,2024
Amnat Charoen,31.555345911949686,11,2024
Amnat Charoen,30.127672955974845,12,2024
Ang Thong,33.46136363636364,1,2024
Ang Thong,35.35,2,2024
Ang Thong,36.175000000000004,3,2024
Ang Thong,38.54772727272728,4,2024
Ang Thong,35.790909090909096,5,2024
Ang Thong,34.97954545454546,6,2024
Ang Thong,32.93636363636364,7,2024
Ang Thong,33.06136363636363,8,2024
Ang Thong,32.64318181818181,9,2024
Ang Thong,32.574999999999996,10,2024
Ang Thong,32.79772727272728,11,2024
Ang Thong,31.152272727272724,12,2024
Bangkok,33.39342105263158,1,2024
Bangkok,34.41184210526316,2,2024
Bangkok,34.98947368421052,3,2024
Bangkok,36.77894736842105,4,2024
Bangkok,35.022368421052626,5,2024
Bangkok,34.23552631578948,6,2024
Bangkok,32.790789473684214,7,2024
Bangkok,33.37894736842105,8,2024
Bangkok,32.63947368421053,9,2024
Bangkok,32.54078947368421,10,2024
Bangkok,32.640789473684215,11,2024
Bangkok,31.65526315789474,12,2024
Bueng Kan,28.549743589743592,1,2024
Bueng Kan,30.98205128205128,2,2024
Bueng Kan,32.4625641025641,3,2024
Bueng Kan,36.38410256410256,4,2024
Bueng Kan,34.40461538461539,5,2024
Bueng Kan,33.47128205128205,6,2024
Bueng Kan,32.294871794871796,7,2024
Bueng Kan,32.25435897435898,8,2024
Bueng Kan,31.37435897435898,9,2024
Bueng Kan,31.607179487179486,10,2024
Bueng Kan,30.080000000000002,11,2024
Bueng Kan,26.98769230769231,12,2024
Buri Ram,32.25826446280992,1,2024
Buri Ram,35.50681818181818,2,2024
Buri Ram,36.32603305785124,3,2024
Buri Ram,39.484504132231415,4,2024
Buri Ram,35.76714876033058,5,2024
Buri Ram,34.642148760330585,6,2024
Buri Ram,32.397727272727266,7,2024
Buri Ram,33.244421487603304,8,2024
Buri Ram,32.170867768595045,9,2024
Buri Ram,31.811776859504135,10,2024
Buri Ram,31.87520661157025,11,2024
Buri Ram,30.17086776859504,12,2024
Chachoengsao,33.390800000000006,1,2024
Chachoengsao,34.7676,2,2024
Chachoengsao,34.992,3,2024
Chachoengsao,37.424800000000005,4,2024
Chachoengsao,34.764799999999994,5,2024
Chachoengsao,33.9632,6,2024
Chachoengsao,32.1972,7,2024
Chachoengsao,32.6456,8,2024
Chachoengsao,32.048,9,2024
Chachoengsao,32.1608,10,2024
Chachoengsao,32.5356,11,2024
Chachoengsao,31.308799999999998,12,2024
Chai Nat,33.21186440677966,1,2024
Chai Nat,35.507627118644066,2,2024
Chai Nat,36.50423728813559,3,2024
Chai Nat,39.48389830508475,4,2024
Chai Nat,35.80847457627118,5,2024
