year,month,province,ws
2023,1,Amnat Charoen,2.731446540880503
2023,2,Amnat Charoen,2.1446540880503147
2023,3,Amnat Charoen,2.0226415094339623
2023,4,Amnat Charoen,1.8943396226415088
2023,5,Amnat Charoen,1.5452830188679247
2023,6,Amnat Charoen,1.6295597484276731
2023,7,Amnat Charoen,1.3811320754716985
2023,8,Amnat Charoen,1.8138364779874216
2023,9,Amnat Charoen,1.310062893081761
2023,10,Amnat Charoen,1.3339622641509434
2023,11,Amnat Charoen,1.5729559748427673
2023,12,Amnat Charoen,1.961006289308176
2023,1,Ang Thong,1.5022727272727272
2023,2,Ang Thong,0.9363636363636364
2023,3,Ang Thong,0.9977272727272728
2023,4,Ang Thong,1.1454545454545455
2023,5,Ang Thong,0.6113636363636363
2023,6,Ang Thong,1.2136363636363636
2023,7,Ang Thong,1.2613636363636365
2023,8,Ang Thong,1.4500000000000002
2023,9,Ang Thong,1.0318181818181815
2023,10,Ang Thong,0.6931818181818182
2023,11,Ang Thong,0.7340909090909092
2023,12,Ang Thong,0.925
2023,1,Bangkok,1.7421052631578948
2023,2,Bangkok,1.431578947368421
2023,3,Bangkok,1.3144736842105265
2023,4,Bangkok,1.4171052631578949
2023,5,Bangkok,1.3276315789473685
2023,6,Bangkok,1.4473684210526316
2023,7,Bangkok,1.8960526315789472
2023,8,Bangkok,1.8289473684210529
2023,9,Bangkok,1.4855263157894738
2023,10,Bangkok,1.0776315789473685
2023,11,Bangkok,1.201315789473684
2023,12,Bangkok,1.4986842105263158
2023,1,Bueng Kan,1.702051282051282
2023,2,Bueng Kan,1.790769230769231
2023,3,Bueng Kan,1.7435897435897436
2023,4,Bueng Kan,1.833846153846154
2023,5,Bueng Kan,1.708717948717949
2023,6,Bueng Kan,1.3876923076923078
2023,7,Bueng Kan,1.374871794871795
2023,8,Bueng Kan,1.610769230769231
2023,9,Bueng Kan,1.364102564102564
2023,10,Bueng Kan,1.6471794871794871
2023,11,Bueng Kan,1.1374358974358976
2023,12,Bueng Kan,1.304102564102564
2023,1,Buri Ram,2.393801652892562
2023,2,Buri Ram,1.8927685950413224
2023,3,Buri Ram,1.95206611570248
2023,4,Buri Ram,1.674793388429752
2023,5,Buri Ram,1.3427685950413222
2023,6,Buri Ram,1.5460743801652894
2023,7,Buri Ram,1.5332644628099177
2023,8,Buri Ram,1.853305785123967
2023,9,Buri Ram,1.453305785123967
2023,10,Buri Ram,1.2944214876033058
2023,11,Buri Ram,1.578099173553719
2023,12,Buri Ram,1.7266528925619835
2023,1,Chachoengsao,1.8056
2023,2,Chachoengsao,1.4876
2023,3,Chachoengsao,1.5332
2023,4,Chachoengsao,1.404
2023,5,Chachoengsao,1.1524
2023,6,Chachoengsao,1.4136000000000002
2023,7,Chachoengsao,1.7348
2023,8,Chachoengsao,1.5676
2023,9,Chachoengsao,1.2344000000000002
2023,10,Chachoengsao,0.9428
2023,11,Chachoengsao,1.1008
2023,12,Chachoengsao,1.5072
2023,1,Chai Nat,1.2932203389830508
2023,2,Chai Nat,1.000847457627119
2023,3,Chai Nat,1.097457627118644
2023,4,Chai Nat,1.1016949152542372
2023,5,Chai Nat,0.6661016949152543
2023,6,Chai Nat,1.2355932203389832
2023,7,Chai Nat,1.1559322033898305
2023,8,Chai Nat,1.3601694915254237
2023,9,Chai Nat,1.1898305084745764
2023,10,Chai Nat,0.6864406779661016
2023,11,Chai Nat,0.8686440677966102
2023,12,Chai Nat,0.9983050847457628
2023,1,Chaiyaphum,1.8439024390243903
2023,2,Chaiyaphum,1.6866666666666663
2023,3,Chaiyaphum,1.6700813008130084
2023,4,Chaiyaphum,1.6
2023,5,Chaiyaphum,1.3739837398373984
2023,6,Chaiyaphum,1.4170731707317072
2023,7,Chaiyaphum,1.4416260162601626
2023,8,Chaiyaphum,1.6
2023,9,Chaiyaphum,1.1552845528455284
2023,10,Chaiyaphum,1.0092682926829268
2023,11,Chaiyaphum,1.331219512195122
2023,12,Chaiyaphum,1.5910569105691057
2023,1,Chanthaburi,2.3823920265780734
2023,2,Chanthaburi,1.814950166112957
2023,3,Chanthaburi,1.7431893687707642
2023,4,Chanthaburi,1.703654485049834
2023,5,Chanthaburi,1.4129568106312294
2023,6,Chanthaburi,1.6172757475083055
2023,7,Chanthaburi,1.814950166112957
2023,8,Chanthaburi,1.8548172757475083
2023,9,Chanthaburi,1.6269102990033224
2023,10,Chanthaburi,1.1993355481727574
2023,11,Chanthaburi,1.523920265780731
2023,12,Chanthaburi,1.8538205980066444
2023,1,Chiang Mai,1.06929422548121
2023,2,Chiang Mai,1.117781851512374
2023,3,Chiang Mai,1.234005499541705
2023,4,Chiang Mai,1.3599450045829515
2023,5,Chiang Mai,1.561686526122823
2023,6,Chiang Mai,1.420806599450046
2023,7,Chiang Mai,1.4234647112740606
2023,8,Chiang Mai,1.4884509624197984
2023,9,Chiang Mai,1.0560036663611367
2023,10,Chiang Mai,0.807974335472044
2023,11,Chiang Mai,0.9878093492208982
2023,12,Chiang Mai,0.9384051329055912
2023,1,Chiang Rai,1.2482817869415808
2023,2,Chiang Rai,1.1467353951890034
2023,3,Chiang Rai,1.3006872852233675
2023,4,Chiang Rai,1.5283505154639174
2023,5,Chiang Rai,1.5768041237113404
2023,6,Chiang Rai,1.4769759450171822
2023,7,Chiang Rai,1.4403780068728524
2023,8,Chiang Rai,1.4374570446735395
2023,9,Chiang Rai,1.0893470790378006
2023,10,Chiang Rai,0.8151202749140894
