province,year,month,wettest_quarter_month
Amnat Charoen,2003,1,-2.0
Amnat Charoen,2003,2,28.0
Amnat Charoen,2003,3,49.0
Amnat Charoen,2003,4,61.0
Amnat Charoen,2003,5,217.0
Amnat Charoen,2003,6,202.0
Amnat Charoen,2003,7,172.0
Amnat Charoen,2003,8,337.0
Amnat Charoen,2003,9,394.0
Amnat Charoen,2003,10,25.0
Amnat Charoen,2003,11,-2.0
Amnat Charoen,2003,12,-2.0
Amnat Charoen,2004,1,4.0
Amnat Charoen,2004,2,40.0
Amnat Charoen,2004,3,31.0
Amnat Charoen,2004,4,67.0
Amnat Charoen,2004,5,226.0
Amnat Charoen,2004,6,250.0
Amnat Charoen,2004,7,391.0
Amnat Charoen,2004,8,316.0
Amnat Charoen,2004,9,220.0
Amnat Charoen,2004,10,1.0
Amnat Charoen,2004,11,1.0
Amnat Charoen,2004,12,-2.0
Amnat Charoen,2005,1,-2.0
Amnat Charoen,2005,2,-2.0
Amnat Charoen,2005,3,34.0
Amnat Charoen,2005,4,46.0
Amnat Charoen,2005,5,208.0
Amnat Charoen,2005,6,202.0
Amnat Charoen,2005,7,385.0
Amnat Charoen,2005,8,313.0
Amnat Charoen,2005,9,313.0
Amnat Charoen,2005,10,22.0
Amnat Charoen,2005,11,25.0
Amnat Charoen,2005,12,1.0
Amnat Charoen,2006,1,-2.0
Amnat Charoen,2006,2,10.0
Amnat Charoen,2006,3,43.0
Amnat Charoen,2006,4,103.0
Amnat Charoen,2006,5,184.0
Amnat Charoen,2006,6,172.0
Amnat Charoen,2006,7,391.0
Amnat Charoen,2006,8,343.0
Amnat Charoen,2006,9,136.0
Amnat Charoen,2006,10,208.0
Amnat Charoen,2006,11,19.0
Amnat Charoen,2006,12,-2.0
Amnat Charoen,2007,1,-2.0
Amnat Charoen,2007,2,10.0
Amnat Charoen,2007,3,55.0
Amnat Charoen,2007,4,37.0
Amnat Charoen,2007,5,265.0
Amnat Charoen,2007,6,193.0
Amnat Charoen,2007,7,217.0
Amnat Charoen,2007,8,358.0
Amnat Charoen,2007,9,217.0
Amnat Charoen,2007,10,253.0
Amnat Charoen,2007,11,7.0
Amnat Charoen,2007,12,-2.0
Amnat Charoen,2008,1,1.0
Amnat Charoen,2008,2,1.0
Amnat Charoen,2008,3,55.0
Amnat Charoen,2008,4,67.0
Amnat Charoen,2008,5,262.0
Amnat Charoen,2008,6,250.0
Amnat Charoen,2008,7,184.0
Amnat Charoen,2008,8,220.0
Amnat Charoen,2008,9,322.0
Amnat Charoen,2008,10,91.0
Amnat Charoen,2008,11,43.0
Amnat Charoen,2008,12,1.0
Amnat Charoen,2009,1,-2.0
Amnat Charoen,2009,2,1.0
Amnat Charoen,2009,3,58.0
Amnat Charoen,2009,4,97.0
Amnat Charoen,2009,5,262.0
Amnat Charoen,2009,6,178.0
Amnat Charoen,2009,7,325.0
Amnat Charoen,2009,8,235.0
Amnat Charoen,2009,9,262.0
Amnat Charoen,2009,10,46.0
Amnat Charoen,2009,11,4.0
Amnat Charoen,2009,12,-2.0
Amnat Charoen,2010,1,7.0
Amnat Charoen,2010,2,10.0
Amnat Charoen,2010,3,7.0
Amnat Charoen,2010,4,58.0
Amnat Charoen,2010,5,166.0
Amnat Charoen,2010,6,169.0
Amnat Charoen,2010,7,199.0
Amnat Charoen,2010,8,442.0
Amnat Charoen,2010,9,217.0
Amnat Charoen,2010,10,136.0
Amnat Charoen,2010,11,-2.0
Amnat Charoen,2010,12,-2.0
Amnat Charoen,2011,1,-2.0
Amnat Charoen,2011,2,7.0
Amnat Charoen,2011,3,16.0
Amnat Charoen,2011,4,100.0
Amnat Charoen,2011,5,208.0
Amnat Charoen,2011,6,205.0
Amnat Charoen,2011,7,292.0
Amnat Charoen,2011,8,394.0
Amnat Charoen,2011,9,376.0
Amnat Charoen,2011,10,166.0
Amnat Charoen,2011,11,7.0
Amnat Charoen,2011,12,-2.0
Amnat Charoen,2012,1,4.0
Amnat Charoen,2012,2,-2.0
Amnat Charoen,2012,3,22.0
Amnat Charoen,2012,4,52.0
Amnat Charoen,2012,5,214.0
Amnat Charoen,2012,6,172.0
Amnat Charoen,2012,7,172.0
Amnat Charoen,2012,8,205.0
Amnat Charoen,2012,9,265.0
Amnat Charoen,2012,10,85.0
Amnat Charoen,2012,11,61.0
Amnat Charoen,2012,12,-2.0
Amnat Charoen,2013,1,7.0
Amnat Charoen,2013,2,25.0
Amnat Charoen,2013,3,34.0
Amnat Charoen,2013,4,34.0
Amnat Charoen,2013,5,67.0
Amnat Charoen,2013,6,133.0
Amnat Charoen,2013,7,325.0
Amnat Charoen,2013,8,175.0
Amnat Charoen,2013,9,316.0
Amnat Charoen,2013,10,112.0
Amnat Charoen,2013,11,-2.0
Amnat Charoen,2013,12,7.0
Amnat Charoen,2014,1,-2.0
Amnat Charoen,2014,2,-2.0
Amnat Charoen,2014,3,25.0
Amnat Charoen,2014,4,79.0
Amnat Charoen,2014,5,88.0
Amnat Charoen,2014,6,262.0
Amnat Charoen,2014,7,328.0
Amnat Charoen,2014,8,310.0
Amnat Charoen,2014,9,172.0
Amnat Charoen,2014,10,31.0
Amnat Charoen,2014,11,7.0
Amnat Charoen,2014,12,-2.0
Amnat Charoen,2015,1,-2.0
Amnat Charoen,2015,2,16.0
Amnat Charoen,2015,3,31.0
Amnat Charoen,2015,4,22.0
Amnat Charoen,2015,5,76.0
Amnat Charoen,2015,6,130.0
